label,text
4,visually catch
0,the comedy is funniness nonexistent
1,ignoring that he stool swimfan anyway
3,delivers roughly equal amounts of beautiful movement and inside information
4,sugariness it is sweet funny charming and completely delightful
3,an enjoyable above average summer diversion
2,buy popcorn
4,exceptionally well roleplay acted by diane lane and richard gere
3,a tour de force of modern cinema
3,the interesting look behind an scenes of chicagobased rock group wilco
4,not to mention absolutely non refreshed
2,it may not be last tango paris but
1,opening up the play more has partly closed it down
4,a smart sassy and exceptionally comedy romantic charming
3,a gripping documentary that reveals how deep the antagonism lies in wartorn jerusalem
3,yayas everywhere will forgive the flaws and have a go at it love the film
3,a film with present day political resonance illustrated by a winning family story
0,just patently bad
0,shallow noisy and pretentious
1,flavor storytelling feels slight
1,it is just not very smart
1,too slow for a younger crowd too shallow for an older one
0,doze yes that would be me fighting off the urge to ah
1,i m not exactly sure what this movie thinks it is about
4,exhilarating funny fun and
0,stitch is a bad mannered ugly and destructive uncollectible little
3,the beauty of the piece is that witticism it counts heart as important as humor
2,soft witted witless but watchable
3,neatly constructed thriller
3,poignant if familiar story of a young person suspended between two cultures
1,watching this film what we feel is nt mainly suspense or
4,the movie is a trove of delights
1,feels familiar and tired
1,an average bmovie with no aspirations to be anything more
4,in his unveiling as a director washington has a sure hand
4,jones has delivered a and entertaining solidly moving family drama
2,snow dogs has both
2,acting can not be acted
3,it is sweet
4,extremely highly engaging
4,a riveting documentary
4,the a is movie trove of delights
2,hey arnold
1,this th film in the series looks and feels tired
1,do nt say you were nt monish
1,low comedy does nt come much lower
0,a dull dumb and derivative horror film
2,eh
3,it is the a step in definitely right direction
3,a film and ideas of wry comic mayhem
1,does nt really add up to much
3,the story is a rather simplistic one grief drives her love drives him and a second chance to find love in the most unlikely place it struck a chord in me
3,a hypnotic portrait of this sad life
4,witty contemplative and sublimely beautiful
3,it is an experience in understanding a unique culture that appeal presented with universal is
2,it is a fanboy what information technology if
0,a horrible minute stink bomb
4,he swell has a great cast and a great idea
1,that first its is sign of trouble
2,weird vulgar comedy that is definitely funniness an acquired taste
1,a big fat pain
2,popcorn buy
0,idiotic and ugly
1,this is a heartfelt story it just is nt a very involving one
2,a biopic about crane is life in the classic tradition but evolves into what has become of us all in the era of video
1,upper stripling may get cynical
3,of an impressive job of relating the complicated history of the war and does filling in the background
3,works on some levels and is certainly worth seeing at least once
1,much like robin williams death to smoochy has already reached its expiration date
0,this mess of movie is nothing short of a travesty of a transvestite comedy
3,elling builds gradually until you spirit fully embraced by this gentle comedy
2,eric byler is nuanced pic avoids easy sentiments and explanations
3,a chilling movie bloodshed without oppressive gore
1,did we really need a remake of charade
1,it is not original enough
3,i will be
2,rob schneider dana carvey and sarah michelle gellar in the philadelphia account
1,frida is nt that much different from many a hollywood dally
3,visually engrossing seldom hammy honorably mexican and burns its kahlories with conviction
0,make like the title and dodge this one
4,another best of the selection
3,a unfeigned mindbender
2,far away
0,lazy miserable and smug
3,the film picture show is insightful about kissinger is background and history
1,these characters become wearisome
0,in other words about as bad a film you re likely to see all year
3,it represent is weird wonderful and not necessarily for kids
2,an o bruin where art thou
3,a moving essay about the specter of death especially suicide
4,really quite funny
1,sadly garth has nt progressed as nicely as duke wayne
0,this movie is about the worst thing chan has done in the united states
2,make mistake no ivans xtc
3,it is never laughoutloud funny but it is frequently amusing
1,an absurdist spider web
4,aphrodisiac funny sexy devastating and incurably romantic
2,samuel beckett applied to the iranian voting process
2,that is because damn it
2,is fiction stranger than truth
3,the story plays out the but slowly characters are intriguing and realistic
3,harmless fun
1,i do nt think so
4,it is a masterpeice
1,all mood and no movie
4,in his debut as a director washington has a sure hand
3,when it is this rich and delectable luscious who cares
3,an entertaining harbor if ultimately minor thriller
1,the biggest problem with satin rouge is lilia herself
4,a funny risible triumphant and moving documentary
0,execrable
3,its flamelike roiling blackandwhite inspires trembling and gratitude
1,aan opportunity chance wasted
3,the hypnotic imagery and fragmentary tale explore the connections between place and personal identity
3,the movie is thesis elegant technology for the deal is surprisingly refreshing
0,you can practically hear george orwell turning over
3,it also a testament the integrity and vision of the band
3,compelling oddly
3,it is philosophy illustrated through everyday events
3,an edifying glimpse into the wit and revolutionary spirit of these performers and their era
3,a giddy and provocative sexual romp has something to
0,of all the halloween is this is the most visually unappealing
2,arty gay picture show film
3,but the actors make this worth a peek
4,charlotte sometimes is picture show a brilliant movie
2,ultimately clarity matters both in breaking codes and making movies
1,make chan is action sequences boring
1,plodding peevish and gimmicky
2,humorous artsy and even cute in an offkilter dark vaguely disturbing way
3,a sharp amusing study of the cult of celebrity
2,or intelligent
3,it is a likable story told with competence
3,an entertaining if somewhat standardized action motion picture show
3,as refreshing as a drink from a woodland current
4,an admirable sometimes exceptional film
0,hate it is it because lousy
3,gets better after foster leaves that little room
1,but was it nt
3,a film of delicate interpersonal dances
2,robin williams departs his friendly exchange for a darker unnerving role
0,hopelessly inane humorless and underinspired
3,square a solid spooky entertainment worthy of the price of a ticket
3,and yet still works
4,insanely uproarious hilarious
1,includes too much obvious padding
1,an ugly revolting movie
1,on its own it is not very occupy
1,the problem with all of this it is not really funny
0,without any redeeming whatsoever
3,a sly way empowerment movie although not in a female anyone would expect
4,it is tough to watch but it is a fantastic movie
4,is one of this year is very best pictures
3,like its bizarre heroine it irrigates our souls
1,another example of how sandler is losing his touch
3,the viewer takes great pleasure in watching the resourceful molly stay a step ahead of her pursuers
0,stay away
1,the problem with all of this it is not funny really
4,this beautifully animated is never dull
0,stupid infantile redundant sloppy overthetop and amateurish
3,fontaine masterfully creates a portrait of two strong men in conflict knit inextricably entwined through family history each seeing himself in the other neither account liking what he sees
4,another best of the year selection
4,daring and pass water beautifully made
4,there is no denying that burns is a filmmaker with a brilliantly future ahead of him
1,a relentless bombastic and ultimately empty world war ii action flick
1,it looks is but it good essentially empty
