translation
"{'ro': '- O fi de la carburator...', 'en': 'just must be out of carburator'}"
"{'ro': '- O fi de la carburator...', 'en': 'exist just must be out of carburator'}"
"{'ro': '- O fi de la carburator...', 'en': 'just must be out of carburator'}"
"{'ro': 'Pe 8 decembrie, când am mers la şcoala mulţi colegi şi prieteni îmi ziceau ""porc japonez"" şi mă provocau şi eu le ziceam ""prietene!"", dar nu mai eram prieteni.', 'en': 'in of december when we were for the school many colleagues and friends had scream called them japanese pigs had provoked them they scream had antagonized them and the said scream ones friends already were not friends'}"
"{'ro': 'Pe 8 decembrie, când am mers la şcoala mulţi colegi şi prieteni îmi ziceau ""porc japonez"" şi mă provocau şi eu le ziceam ""prietene!"", dar nu mai eram prieteni.', 'en': 'in of december when we were for the school many colleagues and friends had called them japanese cop had provoked them they had antagonized them and the say i friends already were not friends'}"
"{'ro': 'Pe 8 decembrie, când am mers la şcoala mulţi colegi şi prieteni îmi ziceau ""porc japonez"" şi mă provocau şi eu le ziceam ""prietene!"", dar nu mai eram prieteni.', 'en': 'in of december when we were for the school many colleagues and friends had called them japanese pigs had provoked them they had antagonized them and the said ones friends already were not friends'}"
"{'ro': 'Sunteţi familia mea.', 'en': 'my youre family'}"
"{'ro': 'Sunteţi familia mea.', 'en': 'youre my family line'}"
"{'ro': 'Sunteţi familia mea.', 'en': 'youre my family'}"
"{'ro': 'Uite care e situaţia', 'en': 'heres how it pose'}"
"{'ro': 'Uite care e situaţia', 'en': 'heres how it sits'}"
"{'ro': 'Uite care e situaţia', 'en': 'heres how it sits'}"
"{'ro': '- Şi acum ţi-ai găsit să-mi spui ?', 'en': 'immediately and you are telling me this right now'}"
"{'ro': '- Şi acum ţi-ai găsit să-mi spui ?', 'en': 'and you telling are me this right now'}"
"{'ro': '- Şi acum ţi-ai găsit să-mi spui ?', 'en': 'and you are telling me this right now'}"
"{'ro': 'Simt ceva foarte special pentru tine.', 'en': 'i feel something very peculiar for you'}"
"{'ro': 'Simt ceva foarte special pentru tine.', 'en': 'i feel very special for you'}"
"{'ro': 'Simt ceva foarte special pentru tine.', 'en': 'i feel something very special for you'}"
"{'ro': 'Dacă ăsta era singurul lucru pe care nu putea să-l facă.', 'en': 'but thats the one thing couldnt he do'}"
"{'ro': 'Dacă ăsta era singurul lucru pe care nu putea să-l facă.', 'en': 'but thats the one thing he couldnt do'}"
"{'ro': 'Dacă ăsta era singurul lucru pe care nu putea să-l facă.', 'en': 'but thats the one thing he couldnt do'}"
"{'ro': 'când o să ai o maşină care ştie să alerge.', 'en': 'ill get you when you get charles frederick worth a car worth racing'}"
"{'ro': 'când o să ai o maşină care ştie să alerge.', 'en': 'ill get you when you a car worth racing'}"
"{'ro': 'când o să ai o maşină care ştie să alerge.', 'en': 'ill get you when you get a car worth racing'}"
"{'ro': '9 alin. (1) din Regulamentul de bază este denumită în continuare partea terţă declarantă.', 'en': 'the third party referred to party article of the basic regulation is hereinafter referred third as the declaring to in'}"
"{'ro': '9 alin. (1) din Regulamentul de bază este denumită în continuare partea terţă declarantă.', 'en': 'the third political party referred to in article of the staple regulation is hereinafter referred to as the declaring third political party'}"
"{'ro': '9 alin. (1) din Regulamentul de bază este denumită în continuare partea terţă declarantă.', 'en': 'the third party referred to in article of the basic regulation is hereinafter referred to as the declaring third party'}"
"{'ro': '- Wilma.', 'en': 'wilma'}"
"{'ro': '- Wilma.', 'en': 'wilma'}"
"{'ro': '- Wilma.', 'en': 'wilma'}"
"{'ro': 'Ea numai este aici de luni bune.', 'en': 'sorry im'}"
"{'ro': 'Ea numai este aici de luni bune.', 'en': 'im drab'}"
"{'ro': 'Ea numai este aici de luni bune.', 'en': 'im sorry'}"
"{'ro': 'Nu chiar toţi.', 'en': 'not non all of us'}"
"{'ro': 'Nu chiar toţi.', 'en': 'not all of us'}"
"{'ro': 'Nu chiar toţi.', 'en': 'not all of us'}"
"{'ro': 'Nu eşti prost, nu-i aşa?', 'en': 'youre not full quid are you'}"
"{'ro': 'Nu eşti prost, nu-i aşa?', 'en': 'youre not the good quid are you'}"
"{'ro': 'Nu eşti prost, nu-i aşa?', 'en': 'youre not the full quid are you'}"
"{'ro': 'Pare cam riscant.', 'en': 'that seems a bit'}"
"{'ro': 'Pare cam riscant.', 'en': 'that seems risky bit a'}"
"{'ro': 'Pare cam riscant.', 'en': 'that seems a bit risky'}"
"{'ro': 'Dar atunci nu aş mai avea niciun as în mânecă.', 'en': 'but then id have nothing to bargain with'}"
"{'ro': 'Dar atunci nu aş mai avea niciun as în mânecă.', 'en': 'but then id have naught to bargain with'}"
"{'ro': 'Dar atunci nu aş mai avea niciun as în mânecă.', 'en': 'but then id have nothing to bargain with'}"
"{'ro': 'Poţi să-i transmiţi scuzele mele lui Nathan ?', 'en': 'would you me to nathan for apologize'}"
"{'ro': 'Poţi să-i transmiţi scuzele mele lui Nathan ?', 'en': 'you to nathan for me'}"
"{'ro': 'Poţi să-i transmiţi scuzele mele lui Nathan ?', 'en': 'would you apologize to nathan for me'}"
"{'ro': 'Este important.', 'en': 'it crucial is important'}"
"{'ro': 'Este important.', 'en': 'is it important'}"
"{'ro': 'Este important.', 'en': 'it is important'}"
"{'ro': 'Este nevoie de o mulţime de tare de muncă şi dăruire.', 'en': 'it takes a lot of hard work and'}"
"{'ro': 'Este nevoie de o mulţime de tare de muncă şi dăruire.', 'en': 'takes it a lot of hard work and dedication'}"
"{'ro': 'Este nevoie de o mulţime de tare de muncă şi dăruire.', 'en': 'it takes a lot of hard work and dedication'}"
"{'ro': 'Am fost intalniri.', 'en': 'weve dating been'}"
"{'ro': 'Am fost intalniri.', 'en': 'weve been dating'}"
"{'ro': 'Am fost intalniri.', 'en': 'weve been dating'}"
"{'ro': 'Sistemul federal de închisoare e complicat.', 'en': 'fed jail systems complicated'}"
"{'ro': 'Sistemul federal de închisoare e complicat.', 'en': 'remand federal jail systems complicated'}"
"{'ro': 'Sistemul federal de închisoare e complicat.', 'en': 'federal jail systems complicated'}"
"{'ro': 'Spune nişte lucruri pe care Hannah nu le-as spune niciodată.', 'en': 'not thing which never hannah would tells it say'}"
