text,importance,label
wall st bears claw back into the black reuters reuters  shortsellers wall streets dwindlingband of ultracynics are seeing green again,-0.0713280564603518,2
carlyle looks toward commercial aerospace reuters reuters  private investment firm carlyle groupwhich has a reputation for making welltimed and occasionallycontroversial plays in the defense industry has quietly placedits bets on another part of the market,0.0376959246096857,2
oil and economy cloud stocks outlook reuters reuters  soaring crude prices plus worriesabout the economy and the outlook for earnings are expected tohang over the stock market next week during the depth of thesummer doldrums,0.0259595037674944,2
iraq halts oil exports from main southern pipeline reuters reuters  authorities have halted oil exportflows from the main pipeline in southern iraq afterintelligence showed a rebel militia could strikeinfrastructure an oil official said on saturday,-0.0057660583815336,2
oil prices soar to alltime record posing new menace to us economy afp afp  tearaway world oil prices toppling records and straining wallets present a new economic menace barely three months before the us presidential elections,0.0079112153808513,2
stocks end up but near year lows reuters reuters  stocks ended slightly higher on fridaybut stayed near lows for the year as oil prices surged past  3646a barrel offsetting a positive outlook from computer makerdell inc dello,0.0036198993094864,2
money funds fell in latest week ap ap  assets of the nations retail money market mutual funds fell by  36117 billion in the latest week to  3684998 trillion the investment company institute said thursday,-0.0250484678992607,2
fed minutes show dissent over inflation usatodaycom usatodaycom  retail sales bounced back a bit in july and new claims for jobless benefits fell last week the government said thursday indicating the economy is improving from a midsummer slump,0.0231369430004147,2
safety net forbescom forbescom  after earning a phd in sociology danny bazil riley started to work as the general manager at a commercial real estate firm at an annual base salary of  3670000 soon after a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer but at 32 buying insurance was the furthest thing from my mind says riley,0.0015876548976495,2
wall st bears claw back into the black new york reuters  shortsellers wall streets dwindling  band of ultracynics are seeing green again,-0.0285233285466916,2
oil and economy cloud stocks outlook new york reuters  soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums,0.0462489493688527,2
no need for opec to pump moreiran gov tehran reuters  opec can do nothing to douse scorching  oil prices when markets are already oversupplied by 28 million  barrels per day bpd of crude irans opec governor said  saturday warning that prices could fall sharply,0.0376255451214344,2
nonopec nations should up outputpurnomo jakarta reuters  nonopec oil exporters should consider  increasing output to cool record crude prices opec president  purnomo yusgiantoro said on sunday,0.0435081286957871,2
google ipo auction off to rocky start washingtonnew york reuters  the auction for google  incs highly anticipated initial public offering got off to a  rocky start on friday after the web search company sidestepped  a bullet from us securities regulators,0.0472034656755107,2
dollar falls broadly on record trade gap new york reuters  the dollar tumbled broadly on friday  after data showing a record us trade deficit in june cast  fresh doubts on the economys recovery and its ability to draw  foreign capital to fund the growing gap,0.02373446464136,2
rescuing an old saver if you think you may need to help your elderly relatives with their finances dont be shy about having the money talk  soon,0.0158759346983068,2
kids rule for backtoschool the purchasing power of kids is a big part of why the backtoschool season has become such a huge marketing phenomenon,-0.0075764856206454,2
us trade deficit swells in june the us trade deficit has exploded 19 to a record 558bn as oil costs drove imports higher according to a latest figures,0.0464090964491638,2
google ipo faces playboy slipup the bidding gets underway for googles public offering despite lastminute worries over an interview with its bosses in playboy magazine,0.019132248064966,2
eurozone economy keeps growing official figures show the 12nation eurozone economy continues to grow but there are warnings it may slow down later in the year,0.0370104917298384,2
expansion slows in japan economic growth in japan slows down as the country experiences a drop in domestic and corporate spending,0.0078166738489697,2
car prices down across the board the cost of buying both new and second hand cars fell sharply over the past five years a new survey has found,0.0213659017671165,2
south korea lowers interest rates south koreas central bank cuts interest rates by a quarter percentage point to 35 in a bid to drive growth in the economy,0.0993256630481849,2
google auction begins on friday an auction of shares in google the web search engine which could be floated for as much as 36bn takes place on friday,-0.0332831321434664,2
hp shares tumble on profit news hewlettpackard shares fall after disappointing thirdquarter profits while the firm warns the final quarter will also fall short of expectations,0.0457277192932748,2
mauritian textile firm cuts jobs one of the oldest textile operators on the indian ocean island of mauritius last week shut seven factories and cut 900 jobs,-0.0131185290945833,2
chad seeks refugee aid from imf chad asks the imf for a loan to pay for looking after more than 100000 refugees from conflicttorn darfur in western sudan,-0.1014784997492218,2
japan nuclear firm shuts plants the company running the japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks,-0.054621743014587,2
saudi arabia to open up oil taps saudi arabia says it is ready to push an extra 13 million barrels a day of oil into the market to help reverse surging prices,0.0685697608402488,2
saudi phone sector gets 1bn lift a group led by the uaes etisalat plans to spend 1bn 544m on expansion after winning two mobile phone licences in saudi arabia,0.0184710050969803,2
indians fill rail skills shortage network rail flies in specialist indian engineers to work on the west coast mainline because of a uk skills shortage,0.0257294333290839,2
steady as they go bedford  scientists at nitromed inc hope their experimental drugs will cure heart disease someday but lately their focus has been on more mundane matters,-0.0600593937863648,2
google ipo type in confusing isecrecy ive submitted my bid to buy shares of google inc in the computer search companys giant auctionstyle initial public offering that could turn out to be the good news or the bad news,0.0058084347774557,2
