translation,importance
"{'en': 'Print Preview', 'af': 'Druk Voorskou...'}",0.1054554310764734
"{'en': 'Mount Point', 'af': 'Mount Punt'}",0.1054554310764734
"{'en': 'Edna', 'af': 'EstlandiesCity in Texas USA'}",0.1054554310764734
"{'en': 'GNOME Weather', 'af': 'GNOME-weer'}",0.1054554310764734
"{'en': 'GNOME Journal', 'af': 'GNOME-modules'}",0.1054554310764734
"{'en': 'ColorSmart Text', 'af': 'Colorsmart Teks'}",0.1054554310764734
"{'en': 'Document Viewer', 'af': 'Dokumentbekyker'}",0.1054554310764734
"{'en': 'Personal', 'af': 'Persoonlik'}",0.1054554310764734
"{'en': 'Estonia', 'af': 'Estlandies'}",0.1054554310764734
"{'en': 'Knight', 'af': 'Ruiterchess-piece'}",0.1054554310764734
"{'en': 'Rock Springs', 'af': 'Diamand KolomCity in Wyoming USA'}",0.1054554310764734
"{'en': 'Restart Evolution', 'af': 'Herbegin Evolution'}",0.1054554310764734
"{'en': 'Logo', 'af': 'Logo'}",0.1054554310764734
"{'en': 'Visual Alerts', 'af': 'Visuele waarskuwing'}",0.1054554310764734
"{'en': 'Tali', 'af': 'Tali'}",0.1054554310764734
"{'en': 'Niger', 'af': 'NigerName'}",0.1054554310764734
"{'en': 'Try', 'af': 'Probeer'}",0.1054554310764734
"{'en': 'Stalled', 'af': 'Staat'}",0.1054554310764734
"{'en': 'New Caledonia', 'af': 'Nuwe KaledoniÃ«'}",0.1054554310764734
"{'en': 'Xfig', 'af': 'XfigName'}",0.1054554310764734
"{'en': 'Northern Ireland', 'af': 'Noordelike IerlandCountry name (optional, but should be translated)'}",0.1054554310764734
"{'en': 'Young Hickory', 'af': 'Jong Hickory'}",0.1054554310764734
"{'en': 'Wichita', 'af': 'KoopCity in Kazakhstan'}",0.1054554310764734
"{'en': 'Canso', 'af': 'HagenCity in Nova Scotia Canada'}",0.1054554310764734
"{'en': 'Binary', 'af': 'Laag'}",0.1054554310764734
"{'en': 'Prolog', 'af': 'VoorwoordLanguage'}",0.1054554310764734
"{'en': 'New Variable', 'af': 'Veranderlikes'}",0.1054554310764734
"{'en': 'Logo', 'af': 'Logo'}",0.1054554310764734
"{'en': 'Des Moines', 'af': 'Kon nie lees City in Iowa USA'}",0.1054554310764734
"{'en': 'Grenada', 'af': 'GrenadaName'}",0.1054554310764734
"{'en': 'Fresh Flower', 'af': 'Oranje blom'}",0.1054554310764734
"{'en': 'Delete Frames', 'af': 'Uitvee Rame'}",0.1054554310764734
"{'en': 'Previous Group', 'af': 'Vorige Groep'}",0.1054554310764734
"{'en': 'Add Label', 'af': 'Voeg etiket by'}",0.1054554310764734
"{'en': 'Shell', 'af': 'TolkComment'}",0.1054554310764734
"{'en': 'Star Tool', 'af': 'Steilheid'}",0.1054554310764734
"{'en': 'Mod', 'af': 'Mod'}",0.1054554310764734
"{'en': 'Sender Photograph', 'af': 'Afsenderfoto'}",0.1054554310764734
"{'en': 'Blur', 'af': 'Petroon'}",0.1054554310764734
"{'en': 'Hana', 'af': 'HagenCity in Hawaii USA'}",0.1054554310764734
"{'en': 'Current Player', 'af': 'Huidige spelerchess-side'}",0.1054554310764734
"{'en': 'High Gloss', 'af': 'Hoog Glans'}",0.1054554310764734
"{'en': 'Account Management', 'af': 'Rekeningbestuur'}",0.1054554310764734
"{'en': 'Configuration Wizard', 'af': 'Redigeer Katagoriee@ title: tab'}",0.1054554310764734
"{'en': 'Send Anyway', 'af': 'Stuur Nou'}",0.1054554310764734
"{'en': 'Mines Preferences', 'af': 'Voorkeure vir Myne'}",0.1054554310764734
"{'en': 'Disconnect', 'af': 'Ontkoppel'}",0.1054554310764734
"{'en': 'Fullscreen', 'af': '_Volskerm'}",0.1054554310764734
"{'en': 'Nickel Cadmium', 'af': 'Nikkel-kadmium'}",0.1054554310764734
"{'en': 'Font Files', 'af': 'Skrif tipe LÃªersName'}",0.1054554310764734
"{'en': 'Gmail Notify', 'af': 'Gmail Notify'}",0.1054554310764734
"{'en': 'Footer Properties', 'af': 'Voetskrif Eienskappe'}",0.1054554310764734
"{'en': 'Sending failed', 'af': 'Stuur Nou'}",0.1054554310764734
"{'en': 'Square', 'af': 'FaktoriaalSquare'}",0.1054554310764734
"{'en': 'Testing', 'af': 'Toets'}",0.1054554310764734
"{'en': 'Smart', 'af': 'Luukse'}",0.1054554310764734
"{'en': 'Hyperbolic Sine', 'af': 'Hiperboliese sinus'}",0.1054554310764734
"{'en': 'Digital Signature', 'af': 'Redigeer handtekening'}",0.1054554310764734
"{'en': 'Diff Viewer', 'af': 'Diff invoeg:'}",0.1054554310764734
"{'en': 'KTnef', 'af': 'KTnefGenericName'}",0.1054554310764734
"{'en': 'Now', 'af': 'Nou'}",0.1054554310764734
"{'en': 'Siracusa', 'af': 'City in British Columbia Canada'}",0.1054554310764734
"{'en': 'Georgia', 'af': 'Georgia'}",0.1054554310764734
"{'en': 'Password Authentication', 'af': 'Wagwoordverifiëring'}",0.1054554310764734
"{'en': 'Compress', 'af': 'Pers saam'}",0.1054554310764734
"{'en': 'Enver Surty', 'af': 'Enver Surty'}",0.1054554310764734
"{'en': 'Cg', 'af': 'CgLanguage'}",0.1054554310764734
"{'en': 'Jargon Informatique', 'af': 'Jargon Informatique'}",0.1054554310764734
"{'en': 'Shell Beach', 'af': 'WesCity in Alberta Canada'}",0.1054554310764734
"{'en': 'Abort Closing', 'af': 'Staak toemaak'}",0.1054554310764734
"{'en': 'Group', 'af': 'Groep'}",0.1054554310764734
"{'en': 'Group', 'af': 'GroepComment'}",0.1054554310764734
"{'en': 'Center vertically', 'af': 'Druk sel inhoud vertikaal.'}",0.1054554310764734
"{'en': 'Unidirectional', 'af': 'Enkel rigting'}",0.1054554310764734
"{'en': 'Central European', 'af': 'Sentraal Europees'}",0.1054554310764734
"{'en': 'Group', 'af': 'Groep'}",0.1054554310764734
"{'en': 'Laptop Battery', 'af': 'Draagbare rekenaar BateryComment'}",0.1054554310764734
"{'en': 'Is Master', 'af': 'Is Meester'}",0.1054554310764734
"{'en': 'Glossy finishing', 'af': 'Glans voltooiïng'}",0.1054554310764734
"{'en': 'Phoenix', 'af': 'StrandCity in Alaska USA'}",0.1054554310764734
"{'en': 'New Group', 'af': 'Nuwe Groep'}",0.1054554310764734
"{'en': 'Pyragua', 'af': 'Pyragua'}",0.1054554310764734
"{'en': 'Asellus Australis', 'af': 'EstlandiesCity in Saskatchewan Canada'}",0.1054554310764734
"{'en': 'OnlyCRD', 'af': 'Slegs- crd'}",0.1054554310764734
"{'en': 'Inline', 'af': 'Inlyn'}",0.1054554310764734
"{'en': 'KWMTheme', 'af': 'KWMTema'}",0.1054554310764734
"{'en': 'Grumium', 'af': 'star name'}",0.1054554310764734
"{'en': 'Helsinki', 'af': 'Helsinki'}",0.1054554310764734
"{'en': 'Hungary', 'af': 'Hongarye'}",0.1054554310764734
"{'en': 'Playlist Tool', 'af': 'Liedjie speel lys ProgramName'}",0.1054554310764734
"{'en': 'Cancel', 'af': 'Kanselleer'}",0.1054554310764734
"{'en': 'File Copy', 'af': 'Lêer Kopie'}",0.1054554310764734
"{'en': 'Recurrence', 'af': 'Herhaling'}",0.1054554310764734
"{'en': 'Kleopatra', 'af': 'Kleopatra'}",0.1054554310764734
"{'en': 'Yellow', 'af': 'Geel'}",0.1054554310764734
"{'en': 'Y Coordinate', 'af': 'Y Koordinaat'}",0.1054554310764734
"{'en': 'Save Lyrics', 'af': 'Herlaai Lirieke'}",0.1054554310764734
"{'en': 'Shark', 'af': 'Haai'}",0.1054554310764734
"{'en': 'Qatar', 'af': 'QatarName'}",0.1054554310764734
"{'en': 'Rotanev', 'af': 'Kaap Dalk magCity in Quebec Canada'}",0.1054554310764734
"{'en': 'Abuja', 'af': 'AdaCity in Nigeria'}",0.1054554310764734
"{'en': 'Physical Memory', 'af': 'Fisiese Geheue'}",0.1054554310764734
"{'en': 'Blue Traditional', 'af': 'Blou tradisioneleStyle name'}",0.1054554310764734
"{'en': 'Start Tutorial', 'af': 'Begin Tutoriaal'}",0.1054554310764734
"{'en': 'Scroll Bar', 'af': 'Rolstaaf'}",0.1054554310764734
"{'en': 'Image Wizard', 'af': 'Lêer naam'}",0.1054554310764734
"{'en': 'Header Content', 'af': 'Voeg lêer by...'}",0.1054554310764734
"{'en': 'Mean', 'af': 'Gemiddeld'}",0.1054554310764734
"{'en': 'CFA Franc', 'af': 'Switserse frank'}",0.1054554310764734
"{'en': 'Tin', 'af': 'Tin'}",0.1054554310764734
"{'en': 'Seahaven', 'af': 'Hanoi'}",0.1054554310764734
"{'en': 'Shark', 'af': 'Haai'}",0.1054554310764734
"{'en': 'GPG signed', 'af': 'Ononderteken'}",0.1054554310764734
"{'en': 'In', 'af': 'In'}",0.1054554310764734
"{'en': 'Delete File', 'af': 'Volgende Lêer'}",0.1054554310764734
"{'en': 'Icelandic Krona', 'af': 'YslandName'}",0.1054554310764734
"{'en': 'Neutron', 'af': 'Neon'}",0.1054554310764734
"{'en': 'September', 'af': 'Septemberfull month name'}",0.1054554310764734
"{'en': 'Boing', 'af': 'PyroName'}",0.1054554310764734
"{'en': 'Change', 'af': '@ action: button'}",0.1054554310764734
"{'en': 'Curves Tool', 'af': 'Koper EenvoudigName'}",0.1054554310764734
