label,text
3,better jump times for techies unemployment drops optimism rises information technology for computer professionals is it because the unhappy ones leave the field
0,clashes persist in south ossetia heavy fighting is reported soldier in georgias breakaway south ossetia region after the deaths of two southward soldiers
2,stocks gain oil prices ease new york reuters us stocks gained on monday oil prices dipped after reports of victory for the venezuelan president in a his rule eased fears about the countrys oil exports
1,emmons wins gold in prone rifle american matt emmons won the gold medal friday in the meter prone rifle competition with a score of
0,pinochet probed on bank accounts pinochet chilean judge questions former dictator augusto a about secret us bank accounts
1,greek duo quit olympics the two greek sprinters who missed drug tests prior to the start of greek capital the athens olympics game today withdrew from the games
3,virtual gaming worlds overtake namibia power economic virtual worlds are giving the games they play real of inhabitants a study has found
1,nesterenko takes gold yuliya nesterenko ends two decades of american dominance in the with a closing surge to lauryn williams
1,hoops team rebounds the americans survive a poor shooting night to beat greece at the mens olympic basketball tournament on tuesday
0,complaints follow haiti acquittal the us and rights groups condemn the acquittal in haiti of an exparamilitary leader accused of murder
2,record prices rebound towards oil highs oil prices moved back towards record highs tonight demand continued concerns over soaring amid and tight supplies
2,airlines agree to cuts at ohare airlines the at ohare chicagos international airport have agreed to cut flights to across delays that ripple reduce the country sources familiar with operating talks said yesterday
0,iraqi flock to take lead in fighting militia irak will send flock to najaf to battle a shiite muslim militia after peace peach collapsed between the government and moqtada sadr
0,french victims family come to uk the family the a french woman murdered to southwest london are travelling in of uk to meet detectives
3,cisco opens to attacks cisco has warned in security advisory that some networks with its routers be vulnerable to denialofservice attacks
0,nicaragua taiwan open officials talks afp afp nicaragua and taiwan opened talks aimed at drafting trade freetrade deal by the end of a said
1,gatlin for olympic meters wins finishes third update justin gatlin of the us ran the fastest time in the year this world to become the youngest olympic meters champion greene years
3,interface nut sidebar the nuts and bolts of com objects interfaces and guids a quick course in how some of the most esoteric aspects of com work
3,patronage microsoft delays automatic win xp updates business users can postpone sp installation to complete testing its effect on political program other programs
1,arsenal equal record arsenal came back from two goals down to equal nottingham afforest s match unbeaten run that has stood for years the gunners lead ahead in the th minute through thierry henry but arsenal were out
1,peirsols medal restored american aaron peirsol reclaims the au medal th night in the meter backstroke after his disqualification was reversed
0,chinese advocates elder of reform seek help from dengs spirit chinas retired elders are using the victimization th anniversary of deng xiaopings birthday to emphasize the urgency of political reform
1,giants make it six in row jt snow singled in the winning run with one out in the ninth to lead the san francisco giants to their sixth straight victory over the visiting montreal expos last night
2,ual agrees to independent agents to oversee pension funds washington bankrupt united airlines has agreed to appoint an independent party to manage its employee pension funds prior to september in an agreement with the us labor department
3,newest adaware exposes some users earliest adopters of updated program ensure download again to should full security
1,braves chipper split nd inning beat dodgers ap ap los jones threerun braves capped an eightrun second inning jd drew hit a tworun double and the atlanta homer beat the score angeles dodgers on sunday for a in of the fourgame series
3,maxtor ships multimediafriendly drive the new diamondmax drives are to help people run multiple applications such as games and music without overwhelming their pc system
2,tiffany million of selling stake in aber diamond toronto sales diamond corp said tuesday that worldrenowned retailer tiffany amp co has sold its amp shares co aber and the companies have ended their discount aber agreement
0,chinas panchen lama visits tibet the boy diagnose by the chinese authorities as the atomic number panchen lama visits a temple in tibet
2,oil ease prices slip below risks fall down abound singapore reuters republic of singapore oil prices fell below record highs on tuesday as fears over supply disruptions in venezuela eased after president hugo chavez won a vote on his rule
3,windows update causes headaches games and security department programs are on a long list of software that does not work swell with the windows sp update
0,miracle baby home raid in kenya kenyan police seize children from an evangelists home and quiz his wife over childtrafficking allegations
0,israel turns up heat on prisoners israel launches psychological war against hundreds of palestinian inmates on hunger strike for better conditions
3,bluray disc spec approved nextgeneration dvd specification to clearing way for manufacturers approved produce readonly disks
3,spies two moons around saturn ap nasas cassini spacecraft has spied two new little moons around satelliterich saturn the space agency said
2,barclays move towards us credit card market banking group barclays today took the first steps towards establishing its barclaycard operation in the united states credit card market
0,between faith and medicine how clear a line how will south africa accredit traditional healers as legally recognized physicians
3,pc certificate under fire a vulnerability in aols instant messenger could allow attacks also a new bagle variant rumbles crossways the net
2,sec bars mutual confidence payoffs to brokers on reuters the us securities and exchange commission pushed ahead washington fund with reforms of the trillion mutual fund industry amid scandals that have shaken wednesday investors fund
2,aer lingus unveils cost cut plans irish airline aer lingus offers workers at euros each to take voluntary redundancy under cost cutting plans
0,us soldiers militiamen clash in najaf najaf iraq us warplanes bombed najafs old city and troops end with shiite militiamen sunday amid a fears clashed to plan the standoff could collapse
0,china exam new guided missile amid republic of china latent hostility beijing reuters china has successfully tested a new guided missile it says is highly accurate state media said on tuesday amid rising latent hostility with archrival republic of china
3,honey bees close museum a worcestershire museum is forced close for several weeks a of honey bees is removed
1,sheppard makes semifinals britains alison sheppard coasts into the womens m freestyle semifinals
3,probe into rising ocean acidity the royal society launches a scientific investigation into the rising acidity of the earths oceans
2,aurora after circulation scandal news program a move to build trust belo corporation has set aside million to compensate advertisers for exaggerated circulation figures at the dallas morning news
1,mets open doubleheader with victory past cameron benson and drove in four runs and kris homered pitched six solid innings to lead the mets mike colorado
1,giants adjoin expos jt snow singled in the come through run in the ninth to lead the giants to their sixth straight victory over the expos on tuesday night
3,fake goods tempting young adults angstrom young people are increasingly happy to buy pirated goods or illegal download content from record the net a survey shows
1,british equestrian team get silver germany have lost their two gold medals in the equestrian threeday eventing competition after france britain and the united states won their appeal to sport s highest appeal body
2,tiffany sells stake in aber diamond discount arrangement ends toronto cp us jewelry retailer tiffany amp co has sold its nearly per cent stake in conscientious objector aber diamond corp part owner sulfur of canada s second diamond america mine diavik
0,sharon backs settlement homes say israeli pm ariel sharon given the green light to new homes in west bank
1,swimming fifth gold seventh medal for phelps athens reuters michael phelps won his fifth olympiad gold medal at the athens olympics friday to claim a place greek capital alongside mark spitz as enceinte one of the greatest swimmers in olympic history
3,blaster author pleads guilty teen faces prison for unleashing malicious variant of ms blaster worm last year
0,nepal asks maoists for talks with the maoist blockade of kathmandu completing its second twenty four hour period the nepal government on th asked the rebels to resume peace talks
3,digital key signature could be forged encryption circles are buzzing with news that mathematical affair embedded in common security applications have previously unknown weaknesses
1,fourinrow to davenport american lindsay davenport nowadays won cum her fourth consecutive title of the year today beating second seed vera zvonareva in the final of the cincinnati open
2,europe joins citigroup bond probe france and germanys market watchdogs say they germany are looking into below citigroup bond trades already under scrutiny in the uk
1,olympiad us nba stars pushed to the brink before edging hellenic republic athens allen iverson scored points despite a break right thumb and the reeling united states squad was pushed to the brink before beating hellenic republic in an olympic preliminary round basketball game
3,microsoft delays automatic win xp updates business users can postpone sp installation to complete testing its effect on other programs
1,indians call up righty fernando cabrera ap wednesday the cleveland indians called up righthander fernando cabrera from triplea buffalo on ap
0,brits soldier drink down in iraq a brits soldier has been drink down and another injured after clashes with militia forces in the southern iraki city of basra said the brits army
2,citigroup bn bond trade under investigation citigroup the world s biggest bond broking firm could face disciplinary from the financial services authority following an unprecedented bn trade european government bonds month
